Syslog Message,Explanation
305007, The ASA has attempted to translate an address that it cannot find in any of its global pools. The ASA assumes that the address was deleted and drops the request.  
305008," The ASA kernel detected an inconsistency condition when trying to free an unallocated global IP address back to the address pool. This abnormal condition may occur if the ASA is running a Stateful Failover setup, and some of the internal states are momentarily out of sync between the active unit and the standby unit. This condition is not catastrophic, and the synchronization recovers automatically.  "
305009," An address translation slot was created. The slot translates the source address from the local side to the global side. In reverse, the slot translates the destination address from the global side to the local side.  "
305010, The address translation slot was deleted.  
305011," A TCP, UDP, or ICMP address translation slot was created. The slot translates the source socket from the local side to the global side. In reverse, the slot translates the destination socket from the global side to the local side.  "
305012, The address translation slot was deleted.  
305013, An attempt to connect to a mapped host using its actual address was rejected.  
305014," When CGNAT \u201cblock-allocation\u201d is configured, this syslog will be generated on allocation of a new port block. "
305016, The maximum port blocks per host limit has been reached for a host or the port blocks have been exhausted.   
308001, This is a ASA management message. This message appears after the specified number of times a user incorrectly types the password to enter privileged mode. The maximum is three attempts.  
308002," The IP addresses in one or more static command statements overlap.   global_address  is the global address, which is the address on the lower security interface, and   inside_address  is the local address, which is the address on the higher security-level interface.   "
311001, Stateful Failover update information was sent to the standby ASA when the standby ASA is first to be online.  
311002, Stateful Failover update information stopped sending to the standby ASA.  
311003, An update acknowledgment was received from the standby ASA.  
311004, A Stateful Failover update was transmitted to the standby ASA.  
312001," The ASA received a RIP message with an operation code other than reply, the message has a version number different from what is expected on this interface, and the routing domain entry was nonzero. Another RIP device may not be configured correctly to communicate with the ASA.  "
313001," When using the icmp command with an access list, if the first matched entry is a permit entry, the ICMP packet continues processing. If the first matched entry is a deny entry, or an entry is not matched, the ASA discards the ICMP packet and generates this message. The   icmp  command enables or disables pinging to an interface. With pinging disabled, the ASA cannot be detected on the network. This feature is also referred to as configurable proxy pinging.  "
313004," ICMP packets were dropped by the ASA because of security checks added by the stateful ICMP feature that are usually either ICMP echo replies without a valid echo request already passed across the ASA or ICMP error messages not related to any TCP, UDP, or ICMP session already established in the ASA.  "
313005, ICMP error packets were dropped by the ASA because the ICMP error messages are not related to any session already established in the ASA.  
313008," When using the   icmp  command with an access list, if the first matched entry is a permit entry, the ICMPv6 packet continues processing. If the first matched entry is a deny entry, or an entry is not matched, the ASA discards the ICMPv6 packet and generates this message.   "
313009, An ICMP echo request/reply packet was received with a malformed code(non-zero).  
314001, The ASA opened a UDP media channel for the RTSP client that was receiving data from the server.  
314002, The ASA cannot open a new pinhole for the media channel.  
314003," The RTSP message violated the user-configured RTSP security policy, either because it contains a port from the reserve port range, or it contains a URL with a length greater than the maximum limit allowed.  "
314004, An RTSP client tried to access an RTSP server.  
314005, An RTSP client tried to access a prohibited site.  
314006, A specific RTSP request message exceeded the configured rate limit of RTSP policy.  
315004," The ASA cannot find the RSA host key, which is required for establishing an SSH session. The ASA host key may be absent because it was not generated or because the license for this ASA does not allow DES or 3DES encryption.  "
315011," An SSH session has ended. If a user enters   quit  or   exit , the   terminated   normally  message appears. The username is hidden when invalid or unknown, but appears when valid or the   no logging   hide username  command has been configured. If the session disconnected for another reason, the text describes the reason. The following table lists the possible reasons why a session is disconnected.   "
315012,"  As part of the FIPS 140-2 certification, when FIPS is enabled, SSH connections can only be brought up using aes128-cbc or aes256-cbc as the cipher and SHA1 as the MAC. This syslog is generated when an unacceptable cipher or MAC is used. This syslog will not be seen if FIPS mode is disabled."
315013, This syslog is needed to indicate that an SSH rekey has successfully completed. This is a Common Criteria certification requirement.  
316001," If more VPN tunnels (ISAKMP/IPsec) are concurrently trying to be established than are supported by the platform VPN peer limit, then the excess tunnels are aborted.  "
316002," The ASA cannot create a VPN handle, because the VPN handle already exists.  "
317001, The requested operation failed because of a low-memory condition.  
317002, A software error occurred.  
317003," An internal software error occurred, which prevented the creation of a new IP routing table.  "
317004, The number of routes in the named IP routing table has reached the configured warning limit.  
317005, Additional routes will be added to the table.   
317006, The index into the PDB is out of range.  
317007, A new route has been added to the routing table.  
317008, A new route has been deleted from the routing table.  
317012, Indicates that the interface route count is negative.  
318001, An internal software error occurred. This message occurs at five-second intervals.  
318002, The router was flagged as an area border router without a backbone area configured in the router. This message occurs at five-second intervals.  
318003, An internal software error occurred. This message occurs at five-second intervals.  
318004," The OSPF process had a problem locating the link state advertisement, which might lead to a memory leak.  "
318005, OSPF found an inconsistency between its database and the IP routing table.  
318006, An internal error occurred.  
318007,An internal error occurred.
318008," The OSPF process is being reset, and it is going to select a new router ID. This action will bring down all virtual links.  "
318009," OSPF is running and has tried to reference some related data structures that have been removed elsewhere. Clearing interface and router configurations may resolve the problem. However, if this message appears, some sequence of steps caused premature deletion of data structures and this needs to be investigated.   "
318101, An internal software error has occurred.  
318102, The router was flagged as an Area Border Router (ABR) without a backbone area in the router.  
318103, An internal software error has occurred.  
318104," OSPF has a problem locating the LSA, which could lead to a memory leak.  "
318105, OSPF found an inconsistency between its database and the IP routing table.  
318106, An internal error has occurred.  
318107, An internal error has occurred.  
318108," The OSPF process is being reset, and it is going to select a new router ID, which brings down all virtual links. To make them work again, you need to change the virtual link configuration on all virtual link neighbors.  "
318109, OSPFv3 has received an unexpected interprocess message.  
318110, The specified encrypted key is not valid.  
318111, An attempt was made to use a SPI that has already been used.  
318112, An attempt was made to use a SPI that has already been used.  
318113, An attempt was made to use a SPI that has already been used.  
318114, The key length was incorrect.  
318115, An IPsec API (internal) error has occurred.  
318116, An attempt was made to unconfigure a SPI that is not being used with OSPFv3.  
318117," An attempt was made to remove the policy for the indicated SPI, but the policy was still being used by a secure socket.  "
318118, An IPsec API (internal) error has occurred.  
318119,An IPsec API (internal) error has occurred.
318120,An internal error has occurred.
318121, An internal error has occurred.  
318122, An internal error has occurred. The system is trying to reopen the secure socket and to recover.   
318123, An internal error has occurred. The maximum number of recovery attempts has been exceeded.  
318125, The interface initialization failed. Possible reasons include the following:   
318126, The interface is on the interface list for an area other than the one to which the interface links.  
318127, An internal error has occurred.  
319001, The ARP process in the ASA lost internal synchronization because the ASA was overloaded.  
319002, The routing module in the ASA lost internal synchronization because the ASA was overloaded.  
319003," When an ARP entry has to be updated, a message is sent to the network processor (NP) in order to update the internal ARP table. If the module is experiencing high utilization of memory or if the internal table is full, the message to the NP may be rejected and this message generated.  "
319004, The routing module in the ASA lost internal synchronization because the system was overloaded.  
320001," When the ASA is an easy VPN remote device or server, the peer certificate includes asubject name that does not match the output of the   ca    verifycertdn   command. A man-in-the-middle attack might be occurring, where a device spoofs the peer IP address and tries to intercept a VPN connection from the ASA.  "
321001, A configured resource usage or rate limit for the indicated resource was reached.  
321002, A configured resource usage or rate limit for the indicated resource was reached.  
321003, A configured resource usage or rate logging level for the indicated resource was reached.  
321004, A configured resource usage or rate logging level for the indicated resource was reached.  
321005, The system CPU utilization has reached 95 percent or more and remains at this level for five minutes.  
321006, The system memory usage has reached 80 percent or more and remains at this level for five minutes.  
321007, The system is low on free blocks of memory. Running out of blocks may result in traffic disruption.  
322001," The ASA received a packet from the offending MAC address on the specified interface, but the source MAC address in the packet is statically bound to another interface in the configuration. Either a MAC-spoofing attack or a misconfiguration may be the cause.  "
322002," If the ARP inspection module is enabled, it checks whether a new ARP entry advertised in the packet conforms to the statically configured or dynamically learned IP-MAC address binding before forwarding ARP packets across the ASA. If this check fails, the ARP inspection module drops the ARP packet and generates this message. This situation may be caused by either ARP spoofing attacks in the network or an invalid configuration (IP-MAC binding).  "
322003," If the ARP inspection module is enabled, it checks whether a new ARP entry advertised in the packet conforms to the statically configured IP-MAC address binding before forwarding ARP packets across the ASA. If this check fails, the ARP inspection module drops the ARP packet and generates this message. This situation may be caused by either ARP spoofing attacks in the network or an invalid configuration (IP-MAC binding).  "
322004, The ASA dropped a packet because no management IP address was configured in the transparent mode.   
323001, The ASA is unable to communicate via control channel with the module installed (in the specified slot).  
323002, The module installed did not respond to a shutdown request.  
323003, The module installed did not respond to a reload request.  
323004," The module failed to accept a software version, and will be transitioned to an UNRESPONSIVE state. The module is not usable until the software is updated.   "
323005, This message indicates that the module can not be started completely. The module will remain in the UNRESPONSIVE state until this condition is corrected. A module that is not fully seated in the slot is the most likely cause.   
323006," A data channel communication failure occurred and the ASA was unable to forward traffic to the services module. This failure triggers a failover when the failure occurs on the active ASA in an HA configuration. The failure also results in the configured fail open or fail closed policy being enforced on traffic that would normally be sent to the services module. This message is generated whenever a communication problem over the ASA dataplane occurs between the system module and the services module, which can be caused when the services module stops, resets, is removed or disabled.  "
323007," An ASA with a 4GE-SSM installed experienced a short power surge, then rebooted. As a result, the 4GE-SSM may come online in an unresponsive state. The ASA has detected that the 4GE-SSM is unresponsive, and automatically restarts the 4GE-SSM.  "
324000, The packet being processed did not meet the filtering requirements as described in the   reason  variable and is being dropped.  
324001, There was an error processing the packet. The following are possible reasons:  
324002," If this message was preceded by message 321100, memory allocation error, the message indicates that there were not enough resources to create the PDP context. If not, it was not preceded by message 321100. For version 0, it indicates that the corresponding PDP context cannot be found. For version 1, if this message was preceded by message 324001, then a packet processing error occurred, and the operation stopped.   "
324003, The response received does not have a matching request in the request queue and should not be processed further.  
324004," The packet being processed has a version other than the currently supported version, which is 0 or 1. If the version number printed out is an incorrect number and is seen frequently, then the endpoint may be sending out bad packets as part of an attack.   "
324005, An error occurred while trying to create the tunnel for the transport protocol data units.  
324006," The GPRS support node sending the request has exceeded the maximum allowed tunnels created, so no tunnel will be created.  "
324007, An error occurred while trying to create the tunnel for the transport protocol data units for a differentsServicing GPRS support node or gateway GPRS support node.  
324008," When a GTP HA message is received on the standby unit to update the PDP with data sgsn/ggsn PDPMCB information, the PDP is not found because of a previous PDP update message that was not successfully delivered or successfully processed on the standby unit.  "
324300," When a shared secret is configured for a host, the request authenticator is verified with that secret. If it fails, it is logged and packet processing stops.  "
324301," The accounting request message has a header length that is not the same as the actual packet length, so packet processing stops.  "
325001, Another router on the link sent router advertisements with conflicting parameters.   
325002, Another system is using your IPv6 address.   
325004, A user has configured one or multiple actions over the specified IPv6 header extension.  
325005, An IPv6 packet with a bad extension header has been detected.  
325006, An IPv6 packet with out-of-order extension headers has been detected.  
326001," A managed timer event was received without a context or a correct type, or no handler exists. Alternatively, if the number of events queued exceeds a system limit, an attempt to process them will occur at a later time.  "
326002, The IGMP process failed to shut down upon request. Events that are performed in preparation for this shutdown may be out-of-sync.  
326004, The IGMP packet queue received a signal without a packet.  
326005," A packet triggering a data-driven event was received, and the attempt to notify the MRIB failed.  "
326006," The MFIB received an entry update from the MRIB, but failed to create the entry related to the addresses displayed. The probable cause is insufficient memory.  "
326007," The MFIB received an interface update from the MRIB, but failed to create the interface related to the addresses displayed. The probable cause is insufficient memory.  "
326008, The MFIB failed to register with the MRIB.  
326009, The MFIB failed to open a connection to the MRIB.  
326010, The MFIB failed to unbind from the MRIB.  
326011, The MFIB failed to retrieve the table that was supposed to be deleted.   
326012, The initialization of a specified functionality failed. This component might still operate without the functionality.   
326013, A fundamental error occurred in the MRIB.  
326014, The MRIB failed to initialize.  
326015, The MRIB received a malformed update.  
326016," The PIM tunnel is not usable without a source address. This situation occurs because a numbered interface cannot be found, or because of an internal error.  "
326017, An error occurred while creating a PIM tunnel interface.   
326019, An error occurred while creating a PIM RP tunnel interface.   
326020, An error occurred while processing a PIM interface list.  
326021, An error occurred while setting the SRC of a PIM tunnel interface.  
326022, The PIM process failed to shut down upon request. Events that are performed in preparation for this shutdown may be out-of-sync.  
326023, An error occurred while processing a PIM group range.  
326024, The PIM packet queue received a signal without a packet.  
326025," An internal error occurred while trying to send a message. Events scheduled to occur on the receipt of a message, such as deletion of the PIM tunnel IDB, may not occur.  "
326026,The MRIB failed to register a client.  
326027,The MRIB received a corrupt update.  
326028,An unhandled asynchronous error occurred in the MRIB API.   
327001,The IP SLA monitor was unable to start a new process.  
327002,The IP SLA monitor failed to initialize. This condition is caused by either the timer wheel function failing to initialize or a process not being created. Sufficient memory is probably not available to complete the task.  
327003,The IP SLA monitor cannot initialize the timer wheel.  
328001,A single function can be set as a callback for when a stub with a check registry is invoked. An attempt to set a new callback failed because a callback function has already been set.  
328002," In the FASTCASE registry, the key has to be smaller than the size specified when the registry was created. An attempt was made to register with a key out-of-bounds.  "
329001,A software error has occurred. IDB subblocks cannot be removed.  
331001,The dynamic DNS subsystem failed to update the resource records on the DNS server. This failure might occur if the ASA is unable to contact the DNS server or the DNS service is not running on the destination system.  
331002, A dynamic DNS update succeeded in the DNS server.  
332001, An internal error that indicates the WCCP process was unable to open the UDP socket used to listen for protocol messages from caches.  
332002, An internal error that indicates the WCCP process was unable to allocate memory to hold incoming protocol messages.  
332003, A service from the web cache of the ASA was acquired.  
332004, A service from the web cache of the ASA was lost.  
333001, An EAP association has been initiated with a remote host.  
333002, A timeout occurred while waiting for an EAP response.  
333003, The EAP association has been terminated with the remote host.  
333004, The EAP-Status Query response failed basic packet validation.  
333005, The EAP-Status Query response has one or more invalid TLVs.  
333006, The EAP-Status Query response is missing one or more mandatory TLVs.  
333007, The EAP-Status Query response includes a TLV with an invalid length.  
333008, The EAP-Status Query response includes an invalid nonce TLV.  
333009, The EAP-Status Query response includes a MAC that does not match the calculated MAC.  
333010," The EAP-Status Query response includes a validation flags TLV, which indicates that the peer requested a full posture validation.  "
334001, An EAPoUDP association has been initiated with a remote host.  
334002, An EAPoUDP association has been successfully established with the host.  
334003, An EAPoUDP association has failed to establish with the host.  
334004, An authentication request was made for a NAC clientless host.  
334005, The NAC session for the host was put into the Hold state.  
334006, An EAPoUDP response was not received from the host.  
334007, An EAPoUDP association has terminated with the host.  
334008, EAPoUDP has initiated EAP with the host.  
334009, An audit request is being sent for the specified assigned IP address.  
335001, A NAC session has started for a remote host.  
335002, The client is on the NAC Exception List and is therefore not subject to posture validation.  
335003, The NAC default ACL has been applied for the client.  
335004, NAC is disabled for the remote host.  
335005, Parsing of a downloaded ACL failed.  
335006, The name of the ACL that is being applied as a result of NAC posture validation.  
335007, A NAC default ACL has not been configured.  
335008, A dynamic ACL obtained as a result of PV requires IPsec termination.  
335009, A NAC Revalidate action was requested by the administrator.  
335010, A NAC Revalidate All action was requested by the administrator.  
335011, A NAC Revalidate Group action was requested by the administrator.  
335012, A NAC Initialize action was requested by the administrator.  
335013, A NAC Initialize All action was requested by the administrator.  
335014, A NAC Initialize Group action was requested by the administrator.  
336001," The SIA state means that an EIGRP router has not received a reply to a query from one or more neighbors within the time allotted (approximately three minutes). When this happens, EIGRP clears the neighbors that did not send a reply and logs an error message for the route that became active.  "
336002, The EIGRP router is unable to find the handle for the next hop.  
336003, The DUAL software was unable to allocate a packet buffer. The ASA may be out of memory.  
336004, The reference count packet count became negative.  
336005," The interface is flow blocked for multicast. Qelm is the queue element, and in this case, the last multicast packet on the queue for this particular interface.   "
336006, Peers still exist on a particular interface during or after cleanup of the IDB of the EIGRP.  
336007, An error occurred and the count of the anchor became negative when it was released.  
336008, An interface is being deleted and some lingering DRDB exists.  
336009, An internal error occurred.  
336010, A neighbor went up or down.  
336011, A dual event occurred. The events can be one of the following:  
336012," An interface is going down or is being removed from routing through IGRP, but not all links (neighbors) have been removed from the topology table.  "
336013, A hardware or software error occurred.  
336014, A hardware or software error occurred.  
336015, A hardware or software error occurred.  
336016, A hardware or software error occurred.  
336019, The number of prefixes in the topology database has reached the configured or default threshold level. The prefix source may be any of the following:  
337000, This syslog message indicates that a BFD active session has been created.  
337001, This syslog message indicates that an active BFD session has been terminated.  
337005," The adaptive security appliance received an SRTP or RTP packet that was destined to go to the media termination IP address and port, but the corresponding media session to process this packet was not found.  "
338001," Traffic from a blacklisted domain in the dynamic filter database has appeared. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338002," Traffic to a blacklisted domain name in the dynamic filter database has appeared. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338003," Traffic from a blacklisted IP address in the dynamic filter database has appeared. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338004," Traffic to a blacklisted IP address in the dynamic filter database has appeared. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338005," Traffic from a black-listed domain name in the dynamic filter database was denied. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338006," Traffic to a blacklisted domain name in the dynamic filter database was denied. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338007," Traffic from a blacklisted IP address in the dynamic filter database was denied. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338008," Traffic to a blacklisted IP address in the dynamic filter database was denied. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338101, Traffic from a whitelisted domain in the dynamic filter database has appeared.   
338102, Traffic to a whitelisted domain name in the dynamic filter database has appeared.  
338103, Traffic from a whitelisted IP address in the dynamic filter database has appeared.  
338104, Traffic to a whitelisted IP address in the dynamic filter database has appeared.  
338201," Traffic from a greylisted domain in the dynamic filter database has appeared. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338202," Traffic to a greylisted domain name in the dynamic filter database has appeared. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338203," Traffic from a greylisted domain name in the dynamic filter database was denied; however, the malicious IP address was also resolved to domain names that are unknown to the dynamic filter database. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338204," Traffic to a greylisted domain name in the dynamic filter database was denied; however, the malicious IP address was also resolved to domain names that are unknown to the dynamic filter database. The threat level is a string that shows one of the following values: none, very-low, low, moderate, high, and very-high. The category is a string that shows the reason why a domain name is blacklisted (for example, botnet, Trojan, and spyware).  "
338301," A DNS reply that was present in an administrator whitelist, blacklist, or IronPort list was intercepted.  "
338302, An IP address that was discovered from a DNS reply to the dynamic filter rule table was added.  
338303, An IP address that was discovered from the dynamic filter rule table was removed.  
338304, A new version of the data file has been downloaded.  
338305, The dynamic filter database has failed to download.  
338306, The ASA failed to authenticate with the dynamic filter updater server.  
338307, The downloaded dynamic filter database file failed to decrypt.  
338308, The ASA was directed to a new updater server host or port.  
338309," The dynamic filter updater is a licensed feature; however, the license on the ASA does not support this feature.  "
338310, The ASA failed to receive an update from the dynamic filter updater server.   
340001, Loopback proxy allows third-party applications running on the ASA to access the network. The loopback proxy encountered an error.  
340002, Loopback proxy allows third-party applications running on the ASA to access the network. The loopback proxy generated debugging information for use in troubleshooting.  
341001," The policy agent processes (DME, ducatiAG, and commonAG) started successfully.  "
341002," The policy agent processes (DME, ducatiAG, and commonAG) were stopped.  "
341003, The policy agent failed to start.  
341004," All SSDs have failed or been removed with the system in Up state. The system has attempted to shut down the software module, but that attempt has failed.  "
341005, All SSDs have failed or been removed with the system in Up state. The system is shutting down the software module.   
341006," All SSDs have failed or been removed with the system in recorvery state. The system attempted to stop the recover, but that attempt failed.  "
341007, All SSDs have failed or been removed with the system in recovery state. The system is stopping the recovery of the softwaremodule.  
341008," After getting the system into Up state, all SSDs have failed or been removed before reloading the system. Because the default action during boot is to auto-boot the software module, that action is blocked because there is no storage device available.  "
341010, The ASA has detected insertion or removal events and generates this syslog message immediately.   
341011, The ASA polls the hard disk drive (HDD) health status every 10 minutes and generates this syslog message if the HDD is in a failed state.  
342001, The REST API Agent must be successfully started before a REST API Client can configure the ASA.  
342002," The REST API Agent could fail to start or crash for various reasons, and the reason is specified.  "
342003, A failure notification from the REST API Agent has been received and a restart of the Agent is being attempted.  
342004, The REST API Agent has failed to start after many attempts.  
342005, The REST API image must be successfully installed before starting the REST API Agent.   
342006," The REST API image installation may fail, for one of the following reasons: version check failed, image verification failed, image file not found, out of space on flash or mount failed.   "
342007, The old REST API image must be successfully uninstalled before a new one can be installed.   
342008,The REST API image could not be uninstalled for the following reasons- unmount failed or REST Agent is enabled.
4000nn,  Messages 400000 through 400051 are Cisco Intrusion Prevention Service signature messages.  
401001, The   clear    shun  command was entered to remove existing shuns from memory. An institution to keep a record of shunning activity was allowed.  
401002," A   shun  command was entered, where the first IP address is the shunned host. The other addresses and ports are optional and are used to terminate the connection if available. An institution to keep a record of shunning activity was allowed.  "
401003,A single shunned host was removed from the shun database. An institution to keep a record of shunning activity was allowed.  
401004,"A packet was dropped because the host defined by IP SRC is a host in the shun database. A shunned host cannot pass traffic on the interface on which it is shunned. For example, an external host on the Internet can be shunned on the outside interface. A record of the activity of shunned hosts was provided. This message and message %ASA-4-401005 can be used to evaluate further risk concerning this host.  "
401005,The ASA is out of memory; a shun cannot be applied.  
402114,"An IPsec packet was received that specifies an SPI that does not exist in the SA database. This may be a temporary condition caused by slight differences in aging of SAs between the IPsec peers, or it may be because the local SAs have been cleared. It may also indicate incorrect packets sent by the IPsec peer, which may be part of an attack. This message is rate limited to no more than one message every five seconds.  "
402115," An IPsec packet was received that is missing the expected ESP header. The peer is sending packets that do not match the negotiated security policy, which may indicate an attack. This message is rate limited to no more than one message every five seconds.  "
402116,"A decapsulated IPsec packet does not match the negotiated identity. The peer is sending other traffic through this security association, which may be caused by a security association selection error by the peer, or it may be part of an attack. This message is rate limited to no more than one message every five seconds.  "
402117,"The received packet matched the crypto map ACL, but it is not IPsec-encapsulated. The IPsec peer is sending unencapsulated packets. This error can occur because of a policy setup error on the peer. For example, the firewall may be configured to only accept encrypted Telnet traffic to the outside interface port 23. If you attempt to use Telnet without IPsec encryption to access the outside interface on port 23, this message appears, but not with Telnet or traffic to the outside interface on ports other than 23. This error can also indicate an attack. This message is not generated except under these conditions (for example, it is not generated for traffic to the ASA interfaces themselves). See messages 710001, 710002, and 710003, which track TCP and UDP requests. This message is rate limited to no more than one message every five seconds.  "
402118, A decapsulatd IPsec packet included an IP fragment with an offset less than or equal to 128 bytes. The latest version of the security architecture for IP RFC recommends 128 bytes as the minimum IP fragment offset to prevent reassembly attacks. This may be part of an attack. This message is rate limited to no more than one message every five seconds.  
402119,An IPsec packet was received with an invalid sequence number. The peer is sending packets including sequence numbers that may have been previously used. This message indicates that an IPsec packet has been received with a sequence number outside of the acceptable window. This packet will be dropped by IPsec as part of a possible attack. This message is rate limited to no more than one message every five seconds.   
402120,"   An IPsec packet was received and failed authentication. The packet is dropped. The packet may have been corrupted in transit, or the peer may be sending invalid IPsec packets, which may indicate an attack if many of these packets were received from the same peer. This message is rate limited to no more than one message every five seconds.   "
402121,  An IPsec packet to be decapsulated was received and subsequently dropped by the IPsec subsystem. This may indicate a problem with the ASA configuration or with the ASA itself.   
402122,  A packet to be encapsulated in IPsec was received and subsequently dropped by the IPsec subsystem. This may indicate a problem with the ASA configuration or with the ASA itself.  
402123,"   An error was detected while running a crypto command with a hardware accelerator, which may indicate a problem with the accelerator. This type of error may occur for a variety of reasons, and this message supplements the crypto accelerator counters to help determine the cause.   "
402124,"  The crypto hardware chip has reported a fatal error, indicating that the chip is inoperable. The information from this message captures the details to allow further analysis of the problem. The crypto chip is reset when this condition is detected to unobtrusively allow the ASA to continue functioning. Also, the crypto environment at the time this issue is detected is written to a crypto archive directory on flash to provide further debugging information. Various parameters related to the crypto hardware are included in this message, as follows:  "
402125,"  The crypto driver has detected that either the IPSEC descriptor ring or SSL/Admin descriptor ring is no longer progressing, meaning the crypto chip no longer appears to be functioning. The crypto chip is reset when this condition is detected to unobtrusively allow the ASA to continue functioning. Also, the crypto environment at the time this issue was detected was written to a crypto archive directory on flash to provide further debugging information.  "
402126,"   A functional problem with the hardware crypto chip was detected (see syslog messages 402124 and 402125). To further debug the crypto problem, a crypto archive file was generated that included the current crypto hardware environment (hardware registers and crypto description entries). At boot time, a crypto_archive directory was automatically created on the flash file system (if it did not exist previously). A maximum of two crypto archive files are allowed to exist in this directory.   "
402127,"  A functional problem with the hardware crypto chip was detected (see messages 4402124 and 4402125). This message indicates a crypto archive file was not written, because the maximum number of crypto archive files already existed.  "
402128,   An SSL connection is attempting to use more memory than allowed. The request has been denied.  
402129,   An internal software error has occurred.  
402130,  The ASA crypto hardware accelerator detected an IPsec packet with invalid padding. The ATT VPN client sometimes pads IPsec packets incorrectly.   
402131,  The hardware accelerator configuration has been changed on the ASA. Some ASA platforms have multiple hardware accelerators. One syslog message is generated for each hardware accelerator change.  
402140,   An error occurred during an RSA public key pair generation.  
402141,  An error occurred during an RSA public key pair generation.  
402142,  An error occurred during a symmetric key operation.  
402143,   An error occurred during an asymmetric key operation.  
402144,   An error occurred during digital signature generation.  
402145,  A hash generation error occurred.  
402146,   A keyed hash generation error occurred.  
402147,  An HMAC generation error occurred.  
402148,  A random number generator error occurred.  
402149,"  The ASA tried to use an RSA key that is less than 2048 bits or DH groups 1, 2, or 5.   "
402150,   An unacceptable hashing algorithm has been used for digital certificate signing or verification for FIPS 140-2 certification.  
403101,  The ASA received a PPTP XGRE packet without a corresponding control connection session.  
403102,   The module received an XGRE encapsulated PPP packet with an invalid protocol field.  
403103,   The module cannot accept additional PPTP connections.Connections are allocated as soon as they are available.  
403104,"  The MPPE was configured, but MS-CHAP authentication was not.  "
403106,"  The MPPE was configured, but RADIUS authentication was not.  "
403107,  The AAA server configuration information cannot be found.  
403108,  The client IP address pool information is missing.  
403109,"  The module received a spoofed PPTP packet, which may indicate a hostile event.   "
403110,   The AAA server was not returning the MPPE key attributes required to set up the MPPE encryption policy.  
403500,"   The ASA requested the PPPoE service  any from the access controller at the Internet service provider. The response from the service provider includes other services, but does not include the service  any . This is a discrepancy in the implementation of the protocol. The PADO packet is processed normally, and connection negotiations continue.  "
403501,"  The ASA sent an identifier called the host-unique value to the access controller. The access controller responded with a different host-unique value. The ASA was unable to identify the corresponding connection request for this response. The packet was dropped, and connection negotiations were discontinued.  "
403502,"  The ASA sent an identifier called the host-unique value to the access controller. The access controller responded with a different host-unique value. The ASA was unable to identify the corresponding connection request for this response. The packet was dropped, and connection negotiations were discontinued.  "
403503,   The PPP link has gone down. There are many reasons why this can happen. The first format will display a reason if PPP provides one.  
403504,"   PPPoE requires a dial-out configuration before starting a PPPoE session. In general, the configuration should specify a dialing policy, the PPP authentication, the username, and a password. The following example configures the ASA for PPPoE dialout. The my-username and my-password commands are used to authenticate the access concentrator, using PAP if necessary.  "
403505,"  This message is usually followed by the message, default route already exists.  "
403506,"  This message is followed by one of the followings messages: subnet is the same as interface, or on failover channel.  "
403507,"  You can configure the PPPoE client on an interface to use a particular VPDN group by entering the   pppoe    client   vpdn    group   group_name  command. If a PPPoE VPDN group of the configured name was not located during system startup, this message is generated.  "
405001,"  The ASA received an ARP packet, and the MAC address in the packet differs from the ARP cache entry.  "
405002,  This packet appears for one of the following conditions:  
405003,  A client IP address in the network is the same as the ASA interface IP address.  
405101,  The module failed to allocate RAM system memory while starting a connection or has no more address translation slots available.  
405102,   The ASA failed to allocate RAM system memory while starting a connection or has no more address translation slots available.  
405103,"  The ASA is expecting the protocol discriminator, 0x08, but it received something other than 0x08. The endpoint may be sending a bad packet, or received a message segment other than the first segment. The packet is allowed through.  "
